ID,330,331,333,334,335,342,343,344,345,346,347,348,349,350,351,332,126,133,134,125
0,51.91666666666666,44.65,57.36666666666667,56.25,40.53333333333333,31.43333333333333,33.86666666666667,69.41666666666667,59.85,47.4,45.78333333333333,51.45,24.93333333333333,38.45,40.46666666666667,,16.616666666666667,45.88333333333333,,
1,,19.2,,30.8,34.73333333333333,3.7666666666666666,8.416666666666666,47.43333333333333,34.4,,,,,,,,25.4,,64.78333333333333,
2,13.55,,,,,,,,,,,,,43.11666666666667,,,52.41666666666666,60.3,,55.9
3,,,27.83333333333333,,34.23333333333333,,,,,18.516666666666666,4.7,21.91666666666667,29.2,27.016666666666666,21.5,,,13.683333333333335,,
4,,35.65,,47.26666666666666,44.46666666666667,22.45,24.88333333333333,59.11666666666667,50.86666666666667,56.1,,,33.63333333333333,46.56666666666667,49.18333333333333,,20.683333333333334,,,
5,,16.7,,8.883333333333333,,33.516666666666666,32.86666666666667,54.58333333333334,12.233333333333333,,,,,,,,51.01666666666666,,42.61666666666667,
6,,12.666666666666664,,21.5,,29.216666666666665,27.61666666666667,43.48333333333333,24.966666666666665,,,,,,,,45.9,,58.0,
7,,,28.566666666666666,,35.833333333333336,,,,,20.766666666666666,11.683333333333335,22.65,26.016666666666666,23.83333333333333,22.16666666666667,,,7.8,,
8,,,44.7,,36.23333333333333,,,,,22.16666666666667,28.28333333333333,38.78333333333333,38.45,36.78333333333333,25.266666666666666,,58.81666666666667,31.36666666666667,,
9,,10.033333333333333,,21.816666666666666,,27.13333333333333,26.48333333333333,44.25,25.41666666666667,,,,,,,,44.61666666666667,74.66666666666667,55.8,
10,50.83333333333334,43.63333333333333,56.78333333333333,55.23333333333333,39.95,30.41666666666667,32.85,68.4,58.83333333333334,46.81666666666667,45.2,50.86666666666667,24.33333333333333,37.28333333333333,39.88333333333333,,15.6,45.3,,
11,17.616666666666667,,,,,,,,,,,53.35,42.61666666666667,30.13333333333333,42.6,,39.43333333333333,47.78333333333333,,64.05
12,,40.05,,51.65,19.366666666666667,30.03333333333333,25.75,44.1,55.25,43.56666666666667,49.1,57.11666666666667,30.43333333333333,43.55,38.38333333333333,,25.33333333333333,51.15,,
13,,,34.28333333333333,,24.75,,,,,14.85,18.883333333333333,28.36666666666667,17.266666666666666,15.6,2.9,,37.63333333333333,20.95,,
14,49.71666666666667,,55.56666666666667,,40.56666666666667,44.65,47.06666666666667,69.3,,45.83333333333334,44.0,49.66666666666666,23.88333333333333,22.53333333333333,38.9,,29.816666666666666,44.1,,
15,,18.58333333333333,,10.6,,35.416666666666664,34.75,56.5,9.883333333333333,,,,,,,,52.9,,44.3,
16,,,31.98333333333333,,20.7,,,,,11.066666666666665,16.583333333333332,26.066666666666666,21.966666666666665,20.3,8.166666666666666,,42.31666666666667,18.633333333333333,,
17,29.98333333333333,,61.66666666666666,,58.11666666666667,54.88333333333333,57.31666666666667,,,51.91666666666666,50.1,55.75,45.0,32.53333333333333,45.0,,40.06666666666667,50.18333333333333,,
18,,,60.96666666666667,,15.833333333333336,46.98333333333333,42.71666666666667,41.46666666666667,,40.05,45.56666666666667,55.05,32.016666666666666,42.85,34.85,,50.46666666666667,47.61666666666667,,
19,,21.6,,33.21666666666667,33.88333333333333,9.466666666666667,5.05,46.56666666666667,36.81666666666667,,,,,,,,29.98333333333333,,67.2,
20,,,,,4.95,40.833333333333336,36.55,35.68333333333333,,33.13333333333333,38.65,48.13333333333333,25.1,35.93333333333333,27.93333333333333,,44.3,40.7,,
21,,,21.183333333333334,,,,,,,42.85,33.9,29.5,47.2,45.01666666666666,45.81666666666667,42.13333333333333,,36.93333333333333,,75.53333333333333
22,39.1,,36.06666666666667,,64.48333333333333,,,,,48.76666666666666,39.833333333333336,32.3,51.73333333333333,49.0,51.73333333333333,48.33333333333334,72.38333333333334,42.85,,72.86666666666666
23,,43.08333333333334,,51.75,29.23333333333333,33.35,29.066666666666666,21.61666666666667,55.23333333333333,,,,45.41666666666666,,48.25,,47.95,61.01666666666666,87.03333333333332,
